product_id,product_name,category,price_usd
1,Data Pipeline Setup,Data Engineering,5000
2,ETL Automation,Data Engineering,3500
3,Dashboard Builder,Analytics,2500
4,AI Chatbot,AI/ML,8000
5,Data Warehouse Migration,Data Engineering,15000
6,API Integration,Integration,4000
7,ML Model Training,AI/ML,12000
8,Data Quality Audit,Data Quality,3000
9,Real-time Streaming,Data Engineering,10000
10,Cloud Migration,Infrastructure,8000
11,Security Audit,Security,5000
12,Performance Optimization,Infrastructure,4500
13,Custom Report Builder,Analytics,3500
14,Data Lake Setup,Data Engineering,12000
15,CI/CD Pipeline,DevOps,6000
16,Monitoring Setup,DevOps,3000
17,Documentation Service,Consulting,2000
18,Training Workshop,Consulting,4000
19,Architecture Review,Consulting,5000
20,Emergency Support,Support,2000
